Time,Az_SM,Fs_L1,Fs_L2,Fs_R1,Fs_R2,Pitch,Roll,Vz_SM,Xo,Yaw,Yo
         8.35, -0.407203167677, 7561.66113281, 3322.40332031, 7650.44726562, 3394.16479492, 0.136116653681, 0.0499479398131, 0.00763813359663, 46.3635292053, -0.00561971729621, 0.000145819431054
        8.375, -0.323605954647, 7563.26464844, 3330.90356445,       7649.25, 3390.67553711, 0.136355251074, 0.0487994030118, 0.00534718856215, 46.7108421326, -0.00555819552392, 0.000131336448248
          8.4, -0.0351178832352, 7564.97363281, 3344.90429688, 7647.55712891, 3370.64355469, 0.13666805625, 0.0472521223128, -0.020182300359, 47.0581588745, -0.00535895908251, 0.00011373070447
        8.425, 0.039778240025, 7566.24707031, 3371.41088867, 7646.13085938, 3354.68261719, 0.135719880462, 0.0457170568407, -0.00748025998473, 47.4054985046, -0.00509696733207, 9.745972784e-05
         8.45, -0.0642624124885, 7563.68603516, 3356.97558594, 7647.81689453, 3370.26025391, 0.135061591864, 0.0462332218885, -0.00368561665528, 47.7528419495, -0.00530477752909, 0.000103644139017
        8.475, 0.395042687654, 7559.02978516, 3333.56030273, 7652.00732422, 3398.30395508, 0.134805217385, 0.0481351464987, -0.00612303614616, 48.1001853943, -0.00564903905615, 0.000125950246002
          8.5, -0.0644199475646, 7557.94482422, 3306.96166992, 7653.34912109, 3423.82641602, 0.135518655181, 0.0500467009842, 0.0137786064297, 48.4475250244, -0.00599366938695, 0.000148216378875
        8.525, -0.0654770359397,   7561.296875, 3307.91162109, 7651.37548828, 3413.49951172, 0.136963069439, 0.0491649657488, 0.00760274287313, 48.7948646545, -0.00587232550606, 0.00013927029795
         8.55, -0.142496570945, 7565.31005859, 3330.09301758, 7648.30664062,  3389.2590332, 0.137789100409, 0.0476115196943, 0.00616470398381, 49.1422157288, -0.00552605511621, 0.000123651581816
        8.575, 0.102220639586, 7566.82470703, 3350.88745117, 7646.73388672, 3357.90307617, 0.138437271118, 0.0463727675378, -0.0160681288689, 49.4895782471, -0.00513012101874, 0.000111706358439
          8.6, 0.0268541630358, 7565.96826172, 3363.22631836, 7646.78710938, 3349.99121094, 0.138136491179, 0.0459498874843, -0.0092612169683, 49.8369522095, -0.00493136653677, 0.000107929445221
        8.625, -0.00676548620686, 7562.60888672, 3343.98999023, 7649.68310547, 3375.62939453, 0.137756869197, 0.0468054041266, -0.00198815995827, 50.1843299866, -0.00518356682733, 0.00011703351629
         8.65, 0.240421637893, 7559.77197266,  3327.2109375, 7651.86816406, 3390.04394531, 0.13739284873, 0.0478299818933, -0.00295976805501, 50.5317153931, -0.00541417906061, 0.000128780695377
        8.675, 0.0152348605916, 7557.66210938, 3297.33349609, 7653.78613281,  3421.0534668, 0.136840611696, 0.0505944564939, -0.00651610316709,  50.879108429, -0.00587348733097, 0.000159880888532
          8.7, -0.0622035190463, 7559.31396484, 3299.16162109, 7653.38671875,  3408.8684082, 0.13732637465, 0.051028188318, 0.00972507242113, 51.2264900208, -0.00579642411321, 0.000164721801411
        8.725, -0.0609479099512,     7561.0625, 3317.98510742, 7651.75488281, 3402.14990234, 0.137573838234, 0.04980064556, -0.00375973130576, 51.5738792419, -0.00563534209505, 0.000149188621435
         8.75, -0.052861455828, 7564.64892578,   3330.578125,  7649.5234375, 3387.67260742, 0.13818924129, 0.0479748807847, 0.00252678547986, 51.9212646484, -0.00549261877313, 0.000127115432406
        8.775, 0.0618291459978, 7566.86230469, 3367.51733398, 7647.40136719, 3355.71850586, 0.137744382024, 0.0461001247168, -0.0105073852465, 52.2686691284, -0.00509622460231, 0.000106569765194
          8.8, -0.0793614238501, 7563.55322266, 3344.25805664, 7650.37109375,  3369.6027832, 0.137707963586, 0.0476075075567, 0.0019359246362, 52.6160697937, -0.0053829383105, 0.000122665296658
        8.825, 0.0356314107776, 7559.69921875, 3322.21166992, 7653.99023438, 3389.42431641, 0.137908235192, 0.0491071604192, 0.000858459039591,  52.963470459, -0.0056826886721, 0.000138286399306
         8.85, -0.112817488611, 7558.76953125, 3312.84057617, 7654.95898438, 3404.85131836, 0.138377159834, 0.049657907337, 0.0256555322558, 53.3108711243, -0.00585354678333, 0.000143307508552
        8.875, -0.135940074921, 7558.62597656, 3308.59887695, 7655.44335938, 3420.63378906, 0.138704016805, 0.0500079020858, 0.0291094798595, 53.6582756042, -0.00600639823824, 0.000146366524859
          8.9, -0.0691313669086, 7562.11914062, 3305.08886719,    7653.15625,  3406.9362793, 0.139580920339, 0.0496825501323, 0.00527455285192, 54.0056724548, -0.00595792336389, 0.000142766948557
        8.925, -0.0650479122996, 7566.25439453, 3334.62231445, 7649.03222656, 3378.61914062, 0.139016345143, 0.0481412187219, -0.0083577837795, 54.3530921936, -0.00558011932299, 0.000126161045046
         8.95, -0.0728527605534, 7566.07177734, 3339.97094727, 7648.83789062, 3379.60595703, 0.138069570065, 0.0478805489838, -0.00314070982859, 54.7005119324, -0.00554241612554, 0.000122693876619
        8.975, -0.0073698265478, 7566.99658203, 3357.27001953, 7647.60009766, 3361.00634766, 0.137512147427, 0.0461008958519, 0.00470147049055, 55.0479316711, -0.00529057206586, 0.000102593134216
            9, 0.0120511911809, 7563.54833984, 3352.97192383, 7650.18457031, 3376.74682617, 0.136774867773, 0.0461917035282, -0.00649295048788, 55.3953514099, -0.00542041100562, 0.000103561615106
        9.025, -0.0711994245648, 7563.99414062, 3353.91894531, 7649.90966797, 3374.19897461, 0.136894598603, 0.0460981652141, -0.00307149835862, 55.7427635193, -0.00539750093594, 0.000104282720713
         9.05, 0.331030160189, 7562.20263672, 3335.70996094, 7651.86035156, 3386.47631836, 0.137132138014, 0.0470583848655, -0.00330657628365, 56.0901756287, -0.00560242170468, 0.000116367453302
        9.075, 0.502731502056, 7562.17431641,  3338.6965332, 7652.06591797, 3390.33105469, 0.136487111449, 0.0472432151437, -0.00792104657739, 56.4375953674, -0.00561811076477, 0.000120207871078
          9.1, 0.546287834644, 7561.75048828, 3338.32080078, 7652.45800781, 3392.31958008, 0.135463774204, 0.0476085245609, -0.00998389720917, 56.7850227356, -0.00567057728767, 0.000125664082589
        9.125, -0.0126758292317, 7559.21289062, 3299.51464844, 7655.02587891, 3425.21044922, 0.134898602962, 0.0502673611045, -0.00598650425673, 57.1324424744, -0.00621327525005, 0.000155288929818
         9.15, -0.0291181355715, 7558.85546875, 3304.26098633, 7655.57324219, 3421.14111328, 0.134856000543, 0.0508424080908, 0.00405246764421, 57.4798545837, -0.00622122501954, 0.000161781586939
        9.175, -0.0712052956223, 7561.71777344, 3311.61376953, 7653.85498047, 3408.02734375, 0.135937184095, 0.0498784855008, 0.0078363250941,  57.827255249, -0.00611997302622, 0.00014972340432
          9.2, -0.0611720904708, 7566.61621094, 3340.22241211, 7649.91699219, 3385.52490234, 0.136701345444, 0.0476913228631, -0.00568102719262,  58.174659729, -0.00580365536734, 0.00012441034778
        9.225, 0.0621079690754, 7568.41552734, 3370.88989258, 7648.75732422, 3354.18969727, 0.137422293425, 0.0459042489529, -0.00649171555415, 58.5220603943, -0.00540858972818, 0.000104626262328
         9.25, 0.0260265860707, 7568.69873047, 3366.84228516, 7648.69824219, 3356.77832031, 0.137818589807, 0.0458932481706, -0.00524405948818,  58.869468689, -0.00543158082291, 0.000104083184851
        9.275, -0.0612480267882, 7564.78222656, 3347.57226562, 7651.65429688, 3378.86328125, 0.137223601341, 0.0464983023703, -0.00281793135218, 59.2168807983, -0.00569895934314, 0.00011004525004
          9.3, 0.223914280534, 7561.06738281, 3327.50976562, 7654.29638672, 3393.81469727, 0.136460036039, 0.0482710637152, -0.00776635948569, 59.5643005371, -0.00599277159199, 0.000130448752316
        9.325, 0.0131597109139,   7559.140625, 3294.38183594, 7655.83544922, 3419.28076172,  0.1366006881, 0.0512031428516, -0.0068995365873, 59.9117050171, -0.0064443317242, 0.000163065225934
         9.35, -0.0682880654931, 7561.80175781, 3305.18554688, 7654.33349609,  3411.8581543, 0.137558713555, 0.0510050617158, 0.0122834583744, 60.2590942383, -0.00631800759584, 0.000159796778462
        9.375, -0.0679090172052,    7565.65625, 3334.35302734, 7651.28759766, 3380.40014648, 0.139172181487, 0.0490604899824, 0.000460280163679, 60.6064796448, -0.00587926851586, 0.000136609363835
          9.4, 0.0436939373612, 7567.39355469,  3365.6940918, 7650.16748047, 3349.75805664, 0.140099644661, 0.0467410571873, -0.00515329930931,  60.953868866, -0.00541342189535, 0.00010904683586
        9.425, -0.0790782645345, 7564.74462891, 3345.08154297, 7652.32568359, 3366.35229492, 0.140267491341, 0.0468201413751, 0.00148856628221, 61.3012657166, -0.0055871992372, 0.000107639767521
         9.45, -0.0506510809064,   7561.609375, 3318.16577148, 7654.61230469, 3387.75415039, 0.13994936645, 0.0472672097385, -0.00765879265964, 61.6486663818, -0.00581331783906, 0.000111969457066
        9.475, -0.0842862054706, 7561.04150391, 3299.65380859, 7654.36328125, 3414.80029297, 0.138972207904, 0.0481592193246, 0.0132407005876, 61.9960708618, -0.00602269684896, 0.000123516685562
          9.5, 0.00931609235704, 7561.36572266, 3298.55273438, 7653.66699219,  3416.6730957, 0.138881027699, 0.0485095195472, 0.00252095540054,  62.343460083, -0.00595311401412, 0.000130580723635
        9.525, -0.0662091821432, 7565.22900391, 3315.34033203, 7650.15869141, 3397.67333984, 0.139542073011, 0.0471317917109, -0.00111491314601, 62.6908416748, -0.00562433619052, 0.000118410360301
         9.55, -0.0661762878299, 7568.82519531, 3335.26806641, 7647.24169922, 3376.11328125, 0.139952987432, 0.0457046069205, -0.00581818679348, 63.0382232666, -0.00527828652412, 0.000105729151983
        9.575, -0.00264059891924, 7568.52685547, 3332.54541016, 7647.74853516, 3380.00976562, 0.139757409692, 0.0459041409194, -0.00228170445189, 63.3856086731, -0.00525220902637, 0.000110435707029
          9.6, 0.0619563497603, 7570.02050781,  3366.8815918, 7645.77441406, 3354.76220703, 0.138505101204, 0.0438182651997, -0.0104368943721,  63.733001709, -0.0047703194432, 9.12727336981e-05
        9.625, -0.0349580831826, 7568.10546875, 3356.82421875, 7646.81396484, 3355.36083984, 0.137995317578, 0.0447658188641, -0.00769539130852, 64.0803909302, -0.00466289557517, 0.000112034264021
         9.65, 0.0145933721215, 7565.39550781, 3343.95556641, 7649.24462891, 3375.04833984, 0.137791842222, 0.0467855036259, -0.000808283570223, 64.4277648926, -0.0043432158418, 0.000162396681844
        9.675, 0.384014427662, 7561.70019531, 3327.60253906, 7652.80810547, 3389.01000977, 0.13829664886, 0.0499926842749, -0.00555975921452, 64.7751312256, -0.00327551970258, 0.000263842928689
          9.7, 0.0135726816952, 7558.13769531, 3293.17333984, 7657.21972656, 3421.48608398, 0.138757497072, 0.0557911209762, -0.00823965109885, 65.1224975586, -0.00111394026317, 0.000459711474832
        9.725, -0.0707830190659, 7557.48486328, 3294.48510742,   7659.921875, 3407.81323242, 0.139387875795, 0.0611399710178, 0.0132156377658, 65.4698562622, 0.00368723529391, 0.000754449516535
         9.75, -0.0709301009774, 7553.81396484, 3302.83862305, 7664.46728516, 3403.14599609, 0.139477342367, 0.0677678063512, 0.00523985549808, 65.8172149658, 0.0114452457055, 0.00121144216973
        9.775, 0.122230395675, 7551.61132812, 3323.21166992, 7668.29394531, 3393.83178711, 0.139244914055, 0.075415045023, -0.00235703424551, 66.1645736694, 0.0232664067298, 0.00188485393301
          9.8, 0.0269892569631, 7545.05224609, 3350.89941406, 7676.36621094, 3370.99145508, 0.138708010316, 0.0859545916319, -0.00350369396619,  66.511932373, 0.0402663946152, 0.00286005018279
        9.825, -0.0708082914352, 7531.11474609, 3330.50292969, 7692.20019531, 3390.32885742, 0.138056278229, 0.103284150362, -0.00681660277769, 66.8592910767, 0.0628620013595, 0.00424895482138
         9.85, 0.335009157658, 7513.22607422, 3309.03417969, 7713.32177734, 3421.12133789, 0.137141466141, 0.124474562705, -0.0132339149714, 67.2066421509, 0.0929753929377, 0.00610188953578
        9.875, -0.00918250251561, 7495.95654297, 3273.23242188, 7735.87158203, 3454.81054688, 0.13720241189, 0.148665681481, -0.000386277097277, 67.5539779663, 0.132030814886, 0.00850167497993
          9.9, -0.059584736824, 7480.98535156, 3276.35766602, 7758.15283203, 3459.95629883, 0.137138143182, 0.173407003284, -0.00368107599206, 67.9012985229, 0.182101622224, 0.0115250265226
        9.925, -0.0711653232574, 7464.73144531, 3293.03100586, 7782.87060547, 3438.58325195, 0.13753695786, 0.200201973319, -0.00603986019269, 68.2486038208, 0.244453042746, 0.01530027017
         9.95, 0.0061517553404, 7443.31787109, 3313.58374023, 7813.61523438, 3434.82421875, 0.136945873499, 0.231124773622, -0.00569060631096, 68.5959014893, 0.320169359446, 0.0199694838375
        9.975, -0.0787259787321, 7414.40429688, 3290.43017578, 7852.88720703, 3464.57958984, 0.136335715652, 0.268246173859, -0.00758717488497, 68.9431686401, 0.41017845273, 0.0256787519902
           10, -0.0949737802148, 7382.54980469, 3259.41943359, 7896.28222656, 3506.06884766, 0.135080233216, 0.308491885662, -0.0149660408497, 69.2904129028, 0.516149044037, 0.0325217097998
       10.025, -0.0147757306695,   7351.640625, 3231.91186523, 7940.80859375, 3552.64428711, 0.133438006043, 0.351099491119, -0.00896834954619, 69.6376190186, 0.639278888702, 0.0406227447093
        10.05, -0.0565868355334, 7324.43066406, 3234.72509766, 7983.64941406, 3552.88720703, 0.132976830006, 0.392993927002, -0.0163074228913, 69.9847564697, 0.781096935272, 0.050081603229
       10.075, 0.214027091861, 7295.20214844, 3246.94946289,  8029.7109375, 3561.61401367, 0.132094681263, 0.436427682638, -0.0183407533914, 70.3318328857, 0.94185847044, 0.0610526800156
         10.1, -0.00576201826334, 7263.16455078, 3261.07128906, 8079.22314453, 3555.88769531, 0.131618544459, 0.480510443449, -0.0116072194651, 70.6788330078, 1.12230706215, 0.0736521705985
       10.125, 0.0657319277525, 7225.40771484, 3236.39257812,    8134.71875, 3593.58203125, 0.131197497249, 0.528568863869, -0.0158867947757, 71.0257263184, 1.32213115692, 0.0880386531353
        10.15, -0.0980636402965, 7187.54882812, 3203.81103516, 8190.77685547, 3638.78222656, 0.13099180162,  0.5765619874, -0.00892100390047, 71.3724975586, 1.54209399223, 0.104281760752
       10.175, 0.0159234330058, 7152.97851562, 3165.38598633, 8244.44238281, 3682.20092773, 0.131286561489, 0.623347520828, -0.0174219775945, 71.7191390991, 1.78219199181, 0.122476793826
         10.2, -0.0517317652702, 7123.91259766, 3173.28857422, 8292.87695312, 3684.56079102, 0.131631523371, 0.666858196259, -0.013771568425, 72.0656204224,  2.0427043438, 0.14270311594
       10.225, -0.105244934559, 7095.11865234, 3181.27905273, 8340.70410156, 3682.28515625, 0.132467836142, 0.70927888155, -0.0141964033246, 72.4119110107,  2.3227288723, 0.165076836944
        10.25, 0.00699684303254, 7064.93652344, 3200.87866211, 8388.53710938, 3680.01611328, 0.132720321417, 0.748971521854, -0.006399941165, 72.7580184937, 2.62184858322, 0.189662799239
       10.275, -0.0431792885065, 7032.30175781, 3174.03320312, 8437.52441406, 3709.26855469, 0.133127599955, 0.787625968456, -0.00995089579374, 73.1038894653, 2.93888950348, 0.216554746032
         10.3, -0.0888846889138, 7002.21435547, 3144.49731445, 8482.73828125, 3745.26293945, 0.133060857654, 0.823529422283, -0.0121423639357, 73.4495239258, 3.27328038216, 0.245804294944
       10.325, 0.025758292526, 6976.83203125, 3105.59716797, 8522.55273438,  3787.8371582, 0.133287161589, 0.856698155403, -0.0131030222401, 73.7948760986, 3.62402701378, 0.277464419603
        10.35, -0.0437668375671, 6959.34326172, 3122.07470703, 8553.93066406, 3785.03271484, 0.133353605866, 0.883239686489, -0.0118992971256, 74.1399383545, 3.99098205566, 0.311533719301
       10.375, 0.0868373066187, 6944.22607422, 3133.87548828, 8581.93066406, 3777.11328125, 0.133776366711, 0.905865252018, -0.0122970435768, 74.4846801758, 4.37240457535, 0.348069816828
         10.4, 0.00499939126894, 6929.37744141, 3157.77124023, 8607.63378906, 3762.13647461, 0.133571371436, 0.924299240112, -0.000500649621245, 74.8290939331,  4.7670135498, 0.387086331844
       10.425, -0.0631156563759, 6912.98876953, 3142.50366211, 8632.68066406, 3780.18334961, 0.133195117116, 0.941333591938, -0.0045655365102, 75.1731567383,  5.1724820137, 0.428614169359
        10.45, -0.0885379612446, 6898.53076172, 3116.54223633, 8653.69042969, 3812.48779297, 0.132222503424, 0.954976737499, -0.00322750746273, 75.5168533325, 5.58715105057, 0.472619265318
       10.475, 0.0119789401069, 6889.87255859,        3092.5, 8667.79394531, 3840.86450195, 0.131254211068, 0.964451849461, -0.00902285985649, 75.8601913452, 6.00887870789, 0.519066751003
         10.5, -0.0479636788368, 6889.17724609, 3112.47973633, 8672.53222656, 3826.87426758, 0.130201205611,  0.9669688344, -0.00330154318362,  76.203163147, 6.43581056595, 0.567887067795
       10.525, -0.143542721868, 6890.44335938, 3133.91992188, 8673.12402344, 3811.17382812, 0.128930807114, 0.965080618858, -0.0045141261071, 76.5457763672, 6.86502552032, 0.619056403637
        10.55, 0.0489445105195, 6892.81933594, 3166.39038086, 8670.28515625, 3781.79125977, 0.127222180367, 0.958120882511, -0.00920565985143, 76.8880310059, 7.29431390762, 0.672504127026
       10.575, 0.147223547101, 6893.43066406, 3155.38427734, 8666.89160156, 3803.66845703, 0.124823614955, 0.949723124504, -0.00432139635086, 77.2299423218, 7.72033977509, 0.728192865849
