Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2
        0.925, -8.84316395968e-05, 3112.55102539, 7539.22607422,  7544.9921875, 0.228166013956, -0.0435656271875, 12.7816944122, 0.00125942623708, 0.000246188254096, 49.5959243774, -3.66014355677e-05, 0.925000011921, 0.00272101094015, 1.45826292038, -1.22457492352, -0.130795240402, -1.16258621216, 3116.17016602, -1.50889730453, 1.11101865768, -1.22512722015
         0.95, -0.000140239542816, 3114.06762695, 7535.75830078, 7542.17236328, 0.22678154707, -0.00735037773848, 13.1261291504, 0.00115803908557, 0.000176820001798, 49.5968170166, -3.72266003978e-05, 0.949999988079, 0.00300729926676, 1.43685817719,  -1.261698246, -0.103068679571, -1.19274485111, 3118.02124023, -1.45654797554, 1.10559058189, -1.18379998207
        0.975, -0.00018194297445, 3115.56738281, 7532.44287109, 7539.47509766, 0.225448831916, 0.0281940493733, 13.4705715179, 0.00101485301275, 0.000103812162706, 49.5981636047, -3.78833974537e-05, 0.975000023842, 0.00327864661813, 1.40540373325, -1.29720675945, -0.0755743980408, -1.22160828114, 3119.83740234,   -1.38068223, 1.09306871891, -1.12231206894
            1, -0.000208162455237, 3117.04296875, 7529.32763672, 7536.94091797, 0.224177703261, 0.0628720000386, 13.8150234222, 0.000841446570121, 2.760776988e-05, 49.5999183655, -3.84666673199e-05,             1, 0.00353250815533, 1.36812961102, -1.3305876255, -0.0484472028911, -1.24873542786, 3121.60839844, -1.2874045372, 1.07663929462, -1.04576635361
        1.025, -0.000217700813664, 3118.49023438,  7526.4453125, 7534.59863281, 0.222974553704, 0.0965750142932, 14.1594877243, 0.000652330985758, -5.13212726219e-05, 49.6020507812, -3.87713771488e-05, 1.02499997616, 0.00376742123626, 1.32771492004, -1.36148524284, -0.0217610895634, -1.27381658554,  3123.3293457, -1.18308138847, 1.05793178082, -0.959538638592
         1.05, -0.000212981045479, 3119.90673828, 7523.81396484, 7532.46484375, 0.221842870116, 0.129242002964, 14.5039682388, 0.000461357587483, -0.000132506975206, 49.6045227051, -3.95061360905e-05, 1.04999995232, 0.00398288434371, 1.28538656235, -1.38970124722, 0.00443383678794, -1.29667496681, 3124.99731445, -1.07382178307, 1.03733503819, -0.868803441525
        1.075, -0.000197880770429, 3121.29003906, 7521.43847656, 7530.54394531, 0.220783427358, 0.160833597183, 14.8484659195, 0.000279430067167, -0.000215507607209, 49.6073074341, -4.08548039559e-05, 1.07500004768, 0.00417920900509, 1.24179053307, -1.41518294811, 0.0300895217806, -1.31725895405, 3126.61035156, -0.965182960033, 1.01478123665, -0.778340280056
          1.1, -0.000175962035428, 3122.63769531, 7519.31201172, 7528.83007812, 0.219794154167, 0.191330820322, 15.1929826736, 0.000114027163363, -0.000299915787764, 49.6103897095, -4.22372468165e-05, 1.10000002384, 0.00435736309737, 1.19895458221, -1.4380055666, 0.0551561564207, -1.33562755585, 3128.16772461, -0.861974596977, 0.989894270897, -0.692328333855
        1.125, -0.000145219048136, 3123.94848633, 7517.41113281, 7527.30419922, 0.218865379691, 0.220928281546, 15.5375213623, -2.86359845632e-05, -0.000385443912819, 49.6138153076, -4.4497930503e-05,         1.125, 0.00451935827732, 1.17247056961, -1.45841097832, 0.0795770585537, -1.35198295116, 3129.67773438, -0.77438724041, 0.965256392956, -0.619458734989
         1.15, -9.69282409642e-05, 3125.23608398,  7515.6796875, 7525.91943359, 0.21796298027, 0.250163018703, 15.8820858002, -0.000137220486067, -0.000472005980555, 49.6177711487, -4.82844370708e-05, 1.14999997616, 0.00467041833326, 1.17146635056, -1.47700083256, 0.103564612567, -1.36683225632, 3131.16674805, -0.720270097256, 0.957955300808, -0.574666023254
        1.175, -2.12849827221e-05, 3126.53271484, 7514.01611328, 7524.59033203, 0.217033013701, 0.279800623655, 16.2266788483, -0.000191596045624, -0.000559739593882,  49.622428894, -5.28427299287e-05, 1.17499995232, 0.00482004368678, 1.20610260963, -1.4948643446, 0.127726092935, -1.38108563423, 3132.67358398, -0.718646347523, 0.980556845665, -0.573731899261
          1.2, 8.01804053481e-05, 3127.88085938, 7512.28808594, 7523.20751953, 0.216024756432, 0.310778170824, 16.5713100433, -0.000166971876752, -0.000648928864393, 49.6279220581, -6.04117449257e-05, 1.20000004768, 0.00497969146818, 1.27749967575, -1.51342761517, 0.152856841683, -1.39592218399, 3134.24609375, -0.775829732418, 1.03449761868, -0.62089908123
        1.225, 0.000186044198927, 3129.31518555, 7510.36865234, 7521.66650391, 0.21490906179, 0.343862682581, 16.9159832001, -4.8655358114e-05, -0.000740089744795, 49.6343078613, -6.85274862917e-05, 1.22500002384, 0.00515905069187, 1.37111973763, -1.53405225277, 0.179609254003, -1.41245269775,  3135.9230957, -0.880671203136, 1.10722017288, -0.70682990551
         1.25, 0.000263387453742, 3130.84741211, 7508.16894531, 7519.89697266, 0.213683575392, 0.379321306944, 17.2607040405, 0.000152972323122, -0.000833763566334, 49.6415939331, -7.69773687352e-05,          1.25, 0.00536392303184, 1.46329176426, -1.55768883228, 0.208204358816, -1.43144607544,  3137.7175293, -1.01274895668, 1.17840707302, -0.814725100994
        1.275, 0.00028609475703,  3132.4621582, 7505.65527344, 7517.86914062, 0.212367042899, 0.416831493378, 17.6054801941, 0.000400071323384, -0.000930522684939, 49.6497116089, -8.48671697895e-05, 1.27499997616, 0.00559505401179, 1.53224349022, -1.5847158432, 0.238365665078, -1.45321035385, 3139.61303711, -1.14792764187, 1.23015284538, -0.925282895565
          1.3, 0.000247475254582,  3134.1262207, 7502.84667969, 7515.59960938, 0.210990414023, 0.455634266138, 17.9503154755, 0.000639834441245, -0.00103084708098, 49.6585617065, -9.05867855181e-05, 1.29999995232, 0.00584839470685, 1.56550717354, -1.61492025852, 0.26947286725, -1.47757947445,  3141.5703125, -1.26335966587, 1.25339746475, -1.02022528648
        1.325, 0.000160193216288, 3135.80053711,     7499.8125, 7513.14306641, 0.209590062499, 0.494787454605, 18.2952156067, 0.000822571513709, -0.00113503518514, 49.6680030823, -9.44809653447e-05, 1.32500004768, 0.00611605588347, 1.56049644947, -1.64756274223, 0.300796538591, -1.50396335125, 3143.54223633, -1.34020972252, 1.24800252914, -1.08420085907
         1.35, 4.65136363346e-05, 3137.44873047, 7496.66015625, 7510.58642578, 0.208204865456, 0.533369004726, 18.6401824951, 0.000914881296922, -0.00124316976871, 49.6778755188, -9.59529425018e-05, 1.35000002384, 0.00638761045411, 1.52058553696, -1.68149578571, 0.331673681736, -1.53143763542, 3145.48266602, -1.36487984657,  1.2185921669, -1.10597968102
