Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2
        0.775, -0.0606285594404, 3313.05737305, 7577.70605469,  7677.5859375, 0.144385442138, 6.35929632187, 10.7160205841, -0.005470325239, -0.0116949966177, 49.6041755676, -0.182959571481, 0.774999976158, 0.0518678724766, -367.380615234, -0.85407435894, 3.97396612167, 0.247123047709, 3399.49365234, 32.1222915649, 401.803131104, -29.3732337952, -3.55874617526e-05, 5.55111512313e-17,             0, -5.55111512313e-17
          0.8, -0.0268456097692, 3313.90917969, 7576.77832031, 7674.99560547, 0.143066883087,  6.3967256546, 11.0604982376, -0.00519754830748, -0.0125832622871, 49.6010360718, -0.177516281605, 0.800000011921, 0.0510188005865, -367.411102295, -0.865396261215, 3.98372340202, 0.221346735954, 3401.30908203, 31.6613483429, 406.086547852, -29.585401535, -0.000109271102701, 5.55111512313e-17,             0,             0
        0.825, -0.067588545382, 3327.28051758, 7578.55908203, 7669.52734375, 0.14208856225, 6.06109666824, 11.4049539566, 0.00403168378398, -0.0132484808564, 49.5989494324, 0.169613435864, 0.824999988079, 0.0499556027353, -563.402282715, -0.848250687122,  4.3318772316, 0.164846003056, 3387.31420898, 19.6811676025,  544.22467041, -21.109380722, -0.000183595198905,             0,             0,             0
         0.85, 0.0137182734907, 3353.15527344, 7578.16650391, 7665.20458984, 0.141365453601,  5.4104642868, 11.7493934631, 0.00492301722988, -0.0137001331896, 49.5974769592, 0.222488954663, 0.850000023842, 0.0488468669355, -71.4199905396, -0.853788793087,  4.9865026474, 0.119842156768, 3361.72167969, -16.020778656, 56.9062690735,  10.463514328, -0.000258646003203, 5.55111512313e-17,             0, 5.55111512313e-17
        0.875, -0.0375650934875, 3353.02099609, 7573.98876953, 7664.49902344, 0.140981301665, 5.45945596695, 12.0938215256, -0.00672040646896, -0.0144424727187, 49.5966072083, 0.181985035539,         0.875, 0.0489365905523, 297.600463867, -0.899003505707, 4.96990203857, 0.112423807383, 3364.09399414,  -30.56391716, -224.582214355, 24.0077571869, -0.000323308049701,             0, -5.55111512313e-17,             0
          0.9, -0.0796820819378, 3344.93530273, 7571.16601562, 7663.58349609,  0.1408482939, 5.65079498291,  12.438243866, 0.00734017789364, -0.0152163272724, 49.5966186523, 0.176257282495, 0.899999976158, 0.0487928949296, 316.702819824, -0.929944097996, 4.78416585922, 0.102555431426, 3371.62451172, -31.8355617523, -345.133148193, 26.3536376953, -0.00039292202564,             0,             0,             0
        0.925, -0.0637629553676, 3321.77124023, 7565.67626953, 7664.62060547,  0.1399987638, 6.26758527756, 12.7826738358, -0.000757006113417, -0.0162042453885,  49.596862793, -0.251000702381, 0.925000011921, 0.049743540585, 564.404968262, -0.988960921764, 4.20153188705, 0.112897798419, 3396.44116211, -19.4575138092, -555.374328613, 16.2075004578, -0.000452629145002, -5.55111512313e-17,             0,             0
         0.95, -0.00154677091632, 3295.68017578, 7562.74755859, 7663.53808594, 0.138638496399,  6.8941693306, 13.1271152496, -0.00662878341973, -0.0172112677246, 49.5977592468, -0.195576995611, 0.949999988079, 0.0518921874464, -120.426841736, -1.02098822594,  3.5386235714, 0.100839674473, 3421.27490234, 21.5508556366, 159.394760132, -20.4976005554, -0.000500624009874,             0,             0,             0
        0.975, -0.0680453330278,  3306.9140625, 7564.32861328, 7659.24755859, 0.137570559978,  6.6118812561, 13.4715604782, 0.00663474109024, -0.0176491569728, 49.5992431641, -0.185812681913, 0.975000023842, 0.051848359406, -357.204437256, -1.00576841831, 3.83117961884, 0.0549798458815, 3409.88916016,  30.459646225, 310.974243164, -27.0436534882, -0.000575888145249,             0, -5.55111512313e-17, 5.55111512313e-17
            1, -0.068041741848, 3338.48754883, 7566.62402344, 7654.11523438, 0.137167021632, 5.90289402008, 13.8160095215, -0.00294735096395, -0.0177765320987,  49.600769043, 0.25160753727,             1, 0.0498277842999, -593.283752441, -0.983045518398, 4.60052680969, 0.000248616997851, 3381.58056641, 18.4772548676, 624.244995117, -18.6457881927, -0.000677378207911,             0,             0,             0
        1.025, 0.0164759233594, 3355.54492188, 7566.67480469,    7651.96875, 0.137356236577, 5.47699975967, 14.1604642868, 0.00424609566107, -0.0180205088109, 49.6029472351, 0.222738534212, 1.02499997616, 0.0477569922805, -70.8684539795, -0.983756005764,   5.035343647, -0.0231304205954, 3364.75341797, -15.332025528,  62.444683075, 10.5354890823, -0.000783218478318,             0,             0,             0
         1.05, 0.0379716493189, 3365.37475586, 7566.08203125, 7650.37744141, 0.137635141611, 5.22386455536, 14.5049343109, -0.00776028959081, -0.0183518659323, 49.6053543091, 0.197509512305, 1.04999995232, 0.046449072659, 143.987869263, -0.990991055965, 5.27921152115, -0.0406687520444, 3354.74853516, -24.7171211243, -75.4491882324, 19.3415298462, -0.000882369058672,             0,             0,             0
        1.075, -0.073743827641,  3349.5546875, 7562.81982422, 7651.89501953, 0.137089475989, 5.76078271866, 14.8494310379, -0.00217009685002, -0.0190805885941, 49.6080245972, 0.176992505789, 1.07500004768, 0.0473795160651, 361.622711182, -1.02605330944, 4.87790584564, -0.0257447510958, 3377.43261719, -31.8678188324, -341.414794922, 26.9995937347, -0.000959137978498,             0,             0,             0
          1.1, 0.103687807918, 3325.55981445,  7558.9296875, 7653.74755859, 0.136521160603,  6.2223982811, 15.1939496994, -0.00682427315041, -0.0198350660503, 49.6111106873, -0.220381617546, 1.10000002384, 0.0488403365016, 599.524414062, -1.06759476662,  4.2953619957, -0.00730278901756, 3395.32299805, -19.0701675415, -557.468566895,  16.687078476, -0.0010327140335,             0,             0,             0
        1.125, -0.0991770923138, 3312.13305664, 7557.15722656, 7653.80273438, 0.135503903031, 6.63510990143, 15.5384941101, 0.0167823564261, -0.0205208063126, 49.6145553589, -0.253949314356,         1.125, 0.050408732146, 227.063400269, -1.08686959743, 3.94452404976, -0.00761371478438, 3411.48852539, 4.22973155975, -348.600311279, -0.427737891674, -0.00110808387399, 5.55111512313e-17,             0,             0
         1.15, -0.0414092801511, 3305.45288086, 7555.33203125, 7653.99414062, 0.134551182389, 6.94566202164, 15.8830633163, 0.00761056831107, -0.0211325529963,  49.618434906, -0.211233720183, 1.14999997616, 0.0516902394593, -53.0138130188, -1.10669648647,   3.759516716, -0.00633528223261, 3424.46459961, 17.5784721375, -5.91276502609, -13.6716661453, -0.00119073723909,             0,             0,             0
        1.175, 0.0263884719461, 3321.70385742, 7557.78857422, 7650.57763672, 0.13377392292, 6.58877944946, 16.2276611328, -0.00801504589617, -0.0214158575982, 49.6229705811, -0.1664686203, 1.17499995232, 0.0512985065579, -367.74987793, -1.08178448677, 4.15065860748, -0.0428551286459, 3409.86914062, 32.1630516052, 412.990142822, -28.7457370758, -0.00129577354528,             0,             0,             0
          1.2, -0.069894567132, 3340.29638672, 7559.98486328, 7647.71289062, 0.133263230324, 6.02716255188, 16.5722904205, -0.00367269269191, -0.0216212179512, 49.6285018921, 0.250634670258, 1.20000004768, 0.0506357289851, -592.256652832, -1.05960023403, 4.63289642334, -0.0734668448567, 3386.72436523, 18.5519142151, 613.835144043, -18.0236949921, -0.00140774960164,             0, -5.55111512313e-17, -5.55111512313e-17
        1.225, 0.0581344850361, 3371.78955078, 7560.21777344, 7646.06591797, 0.132750228047, 5.34687995911, 16.9169597626, -0.00776661094278, -0.021692443639, 49.6347770691, 0.196932315826, 1.22500002384, 0.0489601939917, 126.574005127, -1.05799353123, 5.41236972809, -0.0912140309811,  3360.6484375, -23.7512130737, -59.4798316956, 19.3862533569, -0.0015349794412,             0,             0, 5.55111512313e-17
         1.25, 0.104441314936, 3358.15087891, 7559.20166016,   7645.578125, 0.133115798235, 5.55073833466, 17.2616672516, -0.0085380487144, -0.0222948584706, 49.6421470642, 0.205175817013,          1.25, 0.0492519252002, 45.1799163818, -1.06939065456, 5.09020614624, -0.096755117178, 3367.79052734, -15.6310081482, 30.0168972015, 11.8296890259, -0.00164418388158,             0,             0, -5.55111512313e-17
        1.275, -0.0810706838965, 3352.23339844, 7554.91845703, 7647.31591797, 0.132587090135, 5.82621431351, 17.6064376831, 0.00502488482744, -0.022938830778, 49.6502914429, 0.175002977252, 1.27499997616, 0.0506315901875, 313.110595703, -1.11510109901,  4.9352350235, -0.0790476277471,  3379.1784668, -31.8357334137, -338.056793213, 26.9359207153, -0.00174347613938,             0,             0,             0
          1.3, 0.486718684435, 3336.33740234, 7549.15380859, 7649.92578125, 0.131642058492, 6.27666568756, 17.9512710571, -0.0071561075747, -0.0236690342426, 49.6588058472, -0.146860450506, 1.29999995232, 0.0524378605187,  600.20715332,  -1.176420331, 4.53616189957, -0.0522224567831, 3398.53955078, -19.0048732758, -547.546447754, 16.1073799133, -0.00184173346497, 5.55111512313e-17, -5.55111512313e-17,             0
